Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,age,number_of_encounters,number_of_hospitalizations,number_of_primary_care_visits,number_of_wellness_visits,number_of_emergency_visits,first_encounter,last_encounter,number_of_medications,number_of_unique_medications,total_medication_cost,total_dispenses,number_of_procedures,diabetes,hypertension,heart_disease,copd,obesity,depression,kidney_disease,cancer,arthritis,osteoporosis,obesity_prevalence,smoking_prevalence,physical_inactivity,diabetes_prevalence,lack_of_insurance
b9c610cd-28a6-4636-ccb6-c7a0d2a4cb85,2019-02-17,,999-65-3251,,,,Damon455,Langosh790,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,620 Lynch Tunnel Apt 0,Springfield,Massachusetts,Hampden County,1104.0,42.08038942501558,-72.48043144917739,9039.1645,7964.1255,6.9,12,0,12,10,0,2019-02-17 05:07:38,2021-07-25 05:07:38,2.0,2.0,5313.63,42.0,6.0,0,0,0,0,0,0,0,0,0,0,39.900000000000006,17.8,37.65,14.600000000000001,13.899999999999999
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,2005-07-04,,999-49-3323,S99941126,,,Thi53,Wunsch504,,,,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.03521335752818,-71.48251904737748,402723.415,14064.135000000002,20.5,20,3,16,10,3,2012-06-25 08:20:52,2021-10-04 08:20:52,5.0,5.0,1181.7800000000002,11.0,24.0,0,0,0,0,0,0,0,0,0,0,24.950000000000003,11.25,17.4,8.1,4.25
339144f8-50e1-633e-a013-f361391c4cff,1998-05-11,,999-10-8743,S99996708,X75063318X,Mr.,Chi716,Greenfelder433,,,,white,nonhispanic,M,Athens  Athens Prefecture  GR,1060 Bernhard Crossroad Suite 15,Boston,Massachusetts,Suffolk County,2131.0,42.29255662362827,-71.06116042204106,571935.8725,787.5374999999999,27.6,19,1,18,10,1,2012-06-11 05:03:31,2021-08-02 05:03:31,22.0,4.0,81.71,3877.0,51.0,0,1,0,0,1,0,0,0,0,0,24.25,11.25,24.0,9.45,6.3
d488232e-bf14-4bed-08c0-a82f34b6a197,2003-01-28,,999-56-6057,S99929424,,Ms.,Phillis443,Walter473,,,,white,nonhispanic,F,Boston  Massachusetts  US,677 Ritchie Terrace,Hingham,Massachusetts,Plymouth County,2043.0,42.200490824321214,-70.91607557520302,582557.803,104782.20699999998,22.9,31,1,30,10,1,2011-06-01 00:07:31,2021-09-27 12:07:31,2.0,2.0,19.799999999999997,2.0,86.0,0,0,0,0,0,0,0,0,0,0,25.65,7.75,13.899999999999999,7.199999999999999,2.5999999999999996
217f95a3-4e10-bd5d-fb67-0cfb5e8ba075,1993-12-23,,999-91-4320,S99991143,X44132498X,Mr.,Jerrold404,Herzog843,,,M,black,nonhispanic,M,Boston  Massachusetts  US,276 Bernier Branch,Revere,Massachusetts,Suffolk County,,42.3818748756275,-70.99928578468784,475826.855,18067.095,32.0,10,1,9,4,1,2012-02-16 14:57:05,2019-02-28 14:57:05,1.0,1.0,9.14,1.0,17.0,0,0,0,0,0,0,0,0,0,0,25.7,14.0,28.4,10.100000000000001,10.25
faac724a-a9e9-be66-fe1e-3044dc0ba8ea,2020-12-04,,999-31-8261,,,,Brandon214,Watsica258,,,,white,nonhispanic,F,Northborough  Massachusetts  US,734 Brakus Pathway Unit 28,New Marlborough,Massachusetts,Berkshire County,,42.147028011364384,-73.21710320353982,31468.04,206.22,5.1,7,0,7,6,0,2020-12-04 08:26:20,2021-11-12 08:26:20,0.0,0.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,27.4,11.25,18.75,8.65,4.0
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,1990-12-15,,999-60-9905,S99950633,X36202735X,Mr.,Rodrigo242,Arellano2,,,M,black,hispanic,M,Bogota  Bogota  CO,538 Crona Underpass,Revere,Massachusetts,Suffolk County,2151.0,42.44326150073713,-71.02232158016432,772362.7250000001,2213.085,35.0,13,1,11,7,1,2004-01-10 17:01:14,2019-02-23 17:01:14,3.0,3.0,71.68,3.0,26.0,0,0,0,0,0,0,0,0,0,0,25.7,14.0,28.4,10.100000000000001,10.25
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,1985-06-05,,999-93-3123,S99913090,X72720258X,Mr.,Sal878,Hoppe518,,,M,white,nonhispanic,M,Merrimac  Massachusetts  US,930 Goldner Stravenue Apt 8,Somerville,Massachusetts,Middlesex County,2138.0,42.363459871015344,-71.1022528716212,924957.2675,874.3724999999998,40.6,17,4,12,7,4,1994-07-20 19:44:25,2021-05-19 19:44:25,4.0,4.0,43.44,4.0,25.0,1,0,0,0,0,0,0,0,0,0,23.95,8.8,16.9,6.85,4.25
0288c42c-43a1-9878-4a9d-6b96caa12c40,1979-12-17,,999-68-7908,S99962050,X4451825X,Mrs.,Miki234,Kozey370,,Morar593,M,white,nonhispanic,F,Northbridge  Massachusetts  US,636 Stamm Gateway,Cambridge,Massachusetts,Middlesex County,2472.0,42.337425423321065,-71.1066547010483,1134817.5705,226909.9595,46.0,32,0,32,14,0,1981-05-02 16:25:20,2021-06-01 02:25:20,16.0,5.0,17048.03,528.0,47.0,0,0,0,0,0,0,0,0,0,0,23.0,7.55,16.35,6.9,3.65
dc6c06d0-a7d8-100f-c08b-46c93700c188,2006-07-11,,999-30-6555,,,,Taylor21,Gulgowski816,,,,white,nonhispanic,M,East Longmeadow  Massachusetts  US,1037 Hills Extension,Springfield,Massachusetts,Hampden County,1013.0,42.13505594447831,-72.48174986407135,390675.5774999999,1826.3325,19.5,16,1,15,10,1,2012-06-26 19:50:58,2021-09-28 19:50:58,2.0,2.0,24.490000000000002,2.0,21.0,0,0,0,0,0,0,0,0,0,0,39.900000000000006,17.8,37.65,14.600000000000001,13.899999999999999
